Provider,ClaimID_count,BeneID_nunique,ClaimDuration_mean,ClaimDuration_max,InscClaimAmtReimbursed_mean,InscClaimAmtReimbursed_sum,InscClaimAmtReimbursed_std,Insurance_Coverage_Ratio_mean,Patient_Risk_Score_mean,Docs_Involved_Count_mean,ClmProcedureCode_1_count,County_nunique,Ratio_ClaimsPerPatient,Unique_Staff_Count,Ratio_ClaimsPerDoctor,Ratio_Inpatient_Business
PRV51001,25,24,1.44,14,4185.6,104640,10796.09114448373,309.2295603367633,16.44,1.28,2,7,1.0416666666666667,14,1.6666666666666667,0.2
PRV51003,132,117,3.6742424242424243,27,4588.409090909091,605670,7309.79472874617,250.8138137724496,17.454545454545453,1.1818181818181819,39,23,1.1282051282051282,44,2.933333333333333,0.4696969696969697
PRV51004,149,138,1.429530201342282,20,350.13422818791946,52170,689.9637540197715,341.2656252918288,17.65771812080537,1.3221476510067114,0,28,1.0797101449275361,38,3.8205128205128207,0.0
PRV51005,1165,495,1.088412017167382,20,241.1244635193133,280910,491.556391867259,234.61428336071188,17.664377682403433,1.2094420600858369,0,26,2.3535353535353534,6,166.42857142857142,0.0
PRV51007,72,58,0.9583333333333334,20,468.19444444444446,33710,1433.769115705803,202.6857051132762,17.833333333333332,1.125,1,6,1.2413793103448276,10,6.545454545454546,0.041666666666666664
PRV51008,43,36,1.5348837209302326,20,828.6046511627907,35630,3224.7654631552355,229.3497800262619,18.093023255813954,1.255813953488372,2,9,1.1944444444444444,10,3.909090909090909,0.046511627906976744
PRV51011,58,53,0.5517241379310345,17,286.7241379310345,16630,701.0478070917784,175.99303666975112,17.413793103448278,1.3620689655172413,0,9,1.0943396226415094,28,2.0,0.017241379310344827
PRV51012,48,31,3.7083333333333335,20,351.875,16890,707.8936578689371,350.431105610561,17.375,1.25,0,6,1.5483870967741935,14,3.2,0.0
PRV51013,46,44,1.4565217391304348,20,323.4782608695652,14880,471.622341339171,273.1751965000047,17.58695652173913,1.108695652173913,0,8,1.0454545454545454,9,4.6,0.0
PRV51014,30,25,0.4666666666666667,9,349.3333333333333,10480,822.9841969963621,342.79491583648235,17.666666666666668,1.3666666666666667,0,6,1.2,7,3.75,0.0
PRV51015,8,7,0.375,3,87.5,700,74.01737247816507,87.5,15.625,1.375,0,3,1.1428571428571428,3,2.0,0.0
PRV51016,6,6,0.3333333333333333,2,28.333333333333332,170,37.638632635454044,28.333333333333332,16.5,1.0,0,3,1.0,3,1.5,0.0
PRV51017,515,420,1.3572815533980582,20,277.126213592233,142720,570.1818038894332,271.62658165040784,17.63495145631068,1.2970873786407766,2,61,1.2261904761904763,113,4.517543859649122,0.0
PRV51021,257,208,2.0,20,1357.3151750972763,348830,4462.486890505436,294.727694099227,17.284046692607003,1.4085603112840468,17,34,1.2355769230769231,69,3.6714285714285713,0.11284046692607004
PRV51023,36,35,3.6666666666666665,20,1822.5,65610,3084.6980634832225,331.6664406399361,17.63888888888889,1.3888888888888888,5,7,1.0285714285714285,14,2.4,0.25
PRV51024,39,38,1.641025641025641,20,1642.3076923076924,64050,3334.4891990563533,59.7883101862074,17.28205128205128,1.3333333333333333,7,10,1.0263157894736843,13,2.7857142857142856,0.23076923076923078
PRV51025,87,76,2.1724137931034484,28,1360.344827586207,118350,3052.031899721988,370.26008316776324,17.563218390804597,1.367816091954023,10,13,1.144736842105263,35,2.4166666666666665,0.14942528735632185
PRV51026,76,56,1.0921052631578947,20,261.05263157894734,19840,668.7831316600191,253.4320636612978,17.92105263157895,1.263157894736842,0,9,1.3571428571428572,29,2.533333333333333,0.0
PRV51027,53,44,2.1320754716981134,20,563.0188679245283,29840,1044.0446219937528,563.0188679245283,17.169811320754718,1.0377358490566038,0,5,1.2045454545454546,10,4.818181818181818,0.0
PRV51029,93,79,0.6989247311827957,20,329.6774193548387,30660,618.3119580109661,322.78494790080435,18.086021505376344,1.3010752688172043,0,17,1.1772151898734178,38,2.3846153846153846,0.0
PRV51030,171,145,3.198830409356725,23,4326.081871345029,739760,6972.110860570217,203.56283724921232,17.210526315789473,1.1754385964912282,46,14,1.1793103448275861,46,3.6382978723404253,0.47953216374269003
PRV51031,185,157,2.0,20,1944.4324324324325,359720,6540.990221125198,160.4543991798285,17.043243243243243,1.3783783783783783,20,29,1.178343949044586,60,3.0327868852459017,0.15135135135135136
PRV51032,23,21,0.9130434782608695,12,235.65217391304347,5420,596.2063865273236,232.3165911501012,17.565217391304348,1.2173913043478262,0,5,1.0952380952380953,10,2.090909090909091,0.0
PRV51035,30,25,2.2666666666666666,20,1085.3333333333333,32560,5274.670594933627,116.60280569301237,17.066666666666666,1.3,1,8,1.2,18,1.5789473684210527,0.03333333333333333
PRV51036,278,131,1.0503597122302157,20,269.3525179856115,74880,579.1512632739048,261.0439521630313,17.600719424460433,1.079136690647482,0,7,2.122137404580153,5,46.333333333333336,0.0
PRV51037,454,206,1.5330396475770924,20,753.8105726872246,342230,2427.046146481494,277.1849861648977,17.34361233480176,1.1806167400881058,9,7,2.203883495145631,3,113.5,0.05066079295154185
PRV51038,141,107,1.7801418439716312,24,1882.9078014184397,265490,3612.4397254501177,251.55631237579786,17.156028368794328,1.3617021276595744,12,15,1.3177570093457944,44,3.1333333333333333,0.2127659574468085
